,dsn,x_ds0,y_total,sg
0,ds1,ADIANTAMENTOS DIVERSOS ,2,AVANTE
1,ds2,ADIANTAMENTOS DIVERSOS ,2,AVANTE
2,ds3,ADIANTAMENTOS DIVERSOS ,0,AVANTE
3,ds4,ADIANTAMENTOS DIVERSOS ,0,AVANTE
4,ds1,DESPESAS FINANCEIRAS ,1411,AVANTE
5,ds2,DESPESAS FINANCEIRAS ,1411,AVANTE
6,ds3,DESPESAS FINANCEIRAS ,0,AVANTE
7,ds4,DESPESAS FINANCEIRAS ,0,AVANTE
8,ds1,PESSOAL ,912,AVANTE
9,ds2,PESSOAL ,912,AVANTE
10,ds3,PESSOAL ,912,AVANTE
11,ds4,PESSOAL ,0,AVANTE
12,ds1,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",35,AVANTE
13,ds2,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",35,AVANTE
14,ds3,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",0,AVANTE
15,ds4,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",0,AVANTE
16,ds1,TRIBUTOS ,49,AVANTE
17,ds2,TRIBUTOS ,49,AVANTE
18,ds3,TRIBUTOS ,49,AVANTE
19,ds4,TRIBUTOS ,0,AVANTE
20,ds1,ALUGUÉIS E CONDOMÍNIOS ,108,AVANTE
21,ds2,ALUGUÉIS E CONDOMÍNIOS ,108,AVANTE
22,ds3,ALUGUÉIS E CONDOMÍNIOS ,108,AVANTE
23,ds4,ALUGUÉIS E CONDOMÍNIOS ,0,AVANTE
24,ds1,CONVENÇÕES PARTIDÁRIAS ,21,AVANTE
25,ds2,CONVENÇÕES PARTIDÁRIAS ,21,AVANTE
26,ds3,CONVENÇÕES PARTIDÁRIAS ,0,AVANTE
27,ds4,CONVENÇÕES PARTIDÁRIAS ,0,AVANTE
28,ds1,SERVIÇOS CARTORÁRIOS ,12,AVANTE
29,ds2,SERVIÇOS CARTORÁRIOS ,12,AVANTE
30,ds3,SERVIÇOS CARTORÁRIOS ,0,AVANTE
31,ds4,SERVIÇOS CARTORÁRIOS ,0,AVANTE
32,ds1,TRANSPORTES E VIAGENS ,211,AVANTE
33,ds2,TRANSPORTES E VIAGENS ,211,AVANTE
34,ds3,TRANSPORTES E VIAGENS ,211,AVANTE
35,ds4,TRANSPORTES E VIAGENS ,0,AVANTE
36,ds1,SERVIÇOS POSTAIS ,24,AVANTE
37,ds2,SERVIÇOS POSTAIS ,24,AVANTE
38,ds3,SERVIÇOS POSTAIS ,0,AVANTE
39,ds4,SERVIÇOS POSTAIS ,0,AVANTE
40,ds1,LANCHES E REFEIÇÕES ,116,AVANTE
41,ds2,LANCHES E REFEIÇÕES ,116,AVANTE
42,ds3,LANCHES E REFEIÇÕES ,0,AVANTE
43,ds4,LANCHES E REFEIÇÕES ,0,AVANTE
44,ds1,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,20,AVANTE
45,ds2,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,20,AVANTE
46,ds3,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,0,AVANTE
47,ds4,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,0,AVANTE
48,ds1,TELECOMUNICAÇÕES E INTERNET ,98,AVANTE
49,ds2,TELECOMUNICAÇÕES E INTERNET ,98,AVANTE
50,ds3,TELECOMUNICAÇÕES E INTERNET ,0,AVANTE
51,ds4,TELECOMUNICAÇÕES E INTERNET ,0,AVANTE
52,ds1,ENERGIA ELÉTRICA ,48,AVANTE
53,ds2,ENERGIA ELÉTRICA ,48,AVANTE
54,ds3,ENERGIA ELÉTRICA ,0,AVANTE
55,ds4,ENERGIA ELÉTRICA ,0,AVANTE
56,ds1,SERVIÇOS TÉCNICO-PROFISSIONAIS ,186,AVANTE
57,ds2,SERVIÇOS TÉCNICO-PROFISSIONAIS ,186,AVANTE
58,ds3,SERVIÇOS TÉCNICO-PROFISSIONAIS ,186,AVANTE
59,ds4,SERVIÇOS TÉCNICO-PROFISSIONAIS ,0,AVANTE
60,ds1,MATERIAL DE CONSUMO ,79,AVANTE
61,ds2,MATERIAL DE CONSUMO ,79,AVANTE
62,ds3,MATERIAL DE CONSUMO ,79,AVANTE
63,ds4,MATERIAL DE CONSUMO ,0,AVANTE
64,ds1,ATIVO PERMANENTE ,12,AVANTE
65,ds2,ATIVO PERMANENTE ,12,AVANTE
66,ds3,ATIVO PERMANENTE ,12,AVANTE
67,ds4,ATIVO PERMANENTE ,0,AVANTE
68,ds1,PRODUÇÃO DE AUDIOVISUAIS ,8,AVANTE
69,ds2,PRODUÇÃO DE AUDIOVISUAIS ,8,AVANTE
70,ds3,PRODUÇÃO DE AUDIOVISUAIS ,0,AVANTE
71,ds4,PRODUÇÃO DE AUDIOVISUAIS ,0,AVANTE
72,ds1,EVENTOS PROMOCIONAIS ,13,AVANTE
73,ds2,EVENTOS PROMOCIONAIS ,13,AVANTE
74,ds3,EVENTOS PROMOCIONAIS ,0,AVANTE
75,ds4,EVENTOS PROMOCIONAIS ,0,AVANTE
76,ds1,SERVIÇOS DE LIMPEZA ,14,AVANTE
77,ds2,SERVIÇOS DE LIMPEZA ,14,AVANTE
78,ds3,SERVIÇOS DE LIMPEZA ,0,AVANTE
79,ds4,SERVIÇOS DE LIMPEZA ,0,AVANTE
80,ds1,PROPAGANDA E PUBLICIDADE ,12,AVANTE
81,ds2,PROPAGANDA E PUBLICIDADE ,12,AVANTE
82,ds3,PROPAGANDA E PUBLICIDADE ,0,AVANTE
83,ds4,PROPAGANDA E PUBLICIDADE ,0,AVANTE
84,ds1,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",7,AVANTE
85,ds2,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",7,AVANTE
86,ds3,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",0,AVANTE
87,ds4,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",0,AVANTE
88,ds1,RÁDIO E TELEVISÃO ,7,AVANTE
89,ds2,RÁDIO E TELEVISÃO ,7,AVANTE
90,ds3,RÁDIO E TELEVISÃO ,0,AVANTE
91,ds4,RÁDIO E TELEVISÃO ,0,AVANTE
92,ds1,PUBLICAÇÕES ,5,AVANTE
93,ds2,PUBLICAÇÕES ,5,AVANTE
94,ds3,PUBLICAÇÕES ,0,AVANTE
95,ds4,PUBLICAÇÕES ,0,AVANTE
96,ds1,CONVENÇÕES ,2,AVANTE
97,ds2,CONVENÇÕES ,2,AVANTE
98,ds3,CONVENÇÕES ,0,AVANTE
99,ds4,CONVENÇÕES ,0,AVANTE
100,ds1,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,111,AVANTE
101,ds2,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,111,AVANTE
102,ds3,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,111,AVANTE
103,ds4,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,111,AVANTE
104,ds1,MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO ,1,AVANTE
105,ds2,MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO ,1,AVANTE
106,ds3,MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO ,0,AVANTE
107,ds4,MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO ,0,AVANTE
108,ds1,DESPESAS JUDICIAIS ,9,AVANTE
109,ds2,DESPESAS JUDICIAIS ,9,AVANTE
110,ds3,DESPESAS JUDICIAIS ,0,AVANTE
111,ds4,DESPESAS JUDICIAIS ,0,AVANTE
112,ds1,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,3,AVANTE
113,ds2,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,3,AVANTE
114,ds3,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,0,AVANTE
115,ds4,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,0,AVANTE
116,ds1,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,2,AVANTE
117,ds2,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,2,AVANTE
118,ds3,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,0,AVANTE
119,ds4,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,0,AVANTE
120,ds1,OUTROS ORDINÁRIAS,4,AVANTE
121,ds2,OUTROS ORDINÁRIAS,0,AVANTE
122,ds3,OUTROS ORDINÁRIAS,0,AVANTE
123,ds4,OUTROS ORDINÁRIAS,0,AVANTE
124,ds1,SEMINÁRIOS ,1,AVANTE
125,ds2,SEMINÁRIOS ,1,AVANTE
126,ds3,SEMINÁRIOS ,0,AVANTE
127,ds4,SEMINÁRIOS ,0,AVANTE
128,ds1,SEGURANÇA E VIGILÂNCIA ,3,AVANTE
129,ds2,SEGURANÇA E VIGILÂNCIA ,3,AVANTE
130,ds3,SEGURANÇA E VIGILÂNCIA ,0,AVANTE
131,ds4,SEGURANÇA E VIGILÂNCIA ,0,AVANTE
132,ds1,ÁGUA E ESGOTO ,25,AVANTE
133,ds2,ÁGUA E ESGOTO ,25,AVANTE
134,ds3,ÁGUA E ESGOTO ,0,AVANTE
135,ds4,ÁGUA E ESGOTO ,0,AVANTE
136,ds1,OUTRAS DESPESAS GERAIS ,1,AVANTE
137,ds2,OUTRAS DESPESAS GERAIS ,1,AVANTE
138,ds3,OUTRAS DESPESAS GERAIS ,0,AVANTE
139,ds4,OUTRAS DESPESAS GERAIS ,0,AVANTE
140,ds1,ASSUNÇÃO DE OBRIGAÇÕES ,1,AVANTE
141,ds2,ASSUNÇÃO DE OBRIGAÇÕES ,1,AVANTE
142,ds3,ASSUNÇÃO DE OBRIGAÇÕES ,0,AVANTE
143,ds4,ASSUNÇÃO DE OBRIGAÇÕES ,0,AVANTE
144,ds1,DESPESAS GERAIS ,2,AVANTE
145,ds2,DESPESAS GERAIS ,2,AVANTE
146,ds3,DESPESAS GERAIS ,2,AVANTE
147,ds4,DESPESAS GERAIS ,0,AVANTE
148,ds1,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,81,DC
149,ds2,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,81,DC
150,ds3,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,81,DC
151,ds4,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,81,DC
152,ds1,TRANSPORTES E VIAGENS ,488,DC
153,ds2,TRANSPORTES E VIAGENS ,488,DC
154,ds3,TRANSPORTES E VIAGENS ,488,DC
155,ds4,TRANSPORTES E VIAGENS ,0,DC
156,ds1,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",64,DC
157,ds2,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",64,DC
158,ds3,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",0,DC
159,ds4,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",0,DC
160,ds1,SERVIÇOS TÉCNICO-PROFISSIONAIS ,206,DC
161,ds2,SERVIÇOS TÉCNICO-PROFISSIONAIS ,206,DC
162,ds3,SERVIÇOS TÉCNICO-PROFISSIONAIS ,206,DC
163,ds4,SERVIÇOS TÉCNICO-PROFISSIONAIS ,0,DC
164,ds1,OUTRAS DESPESAS GERAIS ,349,DC
165,ds2,OUTRAS DESPESAS GERAIS ,349,DC
166,ds3,OUTRAS DESPESAS GERAIS ,0,DC
167,ds4,OUTRAS DESPESAS GERAIS ,0,DC
168,ds1,LANCHES E REFEIÇÕES ,19,DC
169,ds2,LANCHES E REFEIÇÕES ,19,DC
170,ds3,LANCHES E REFEIÇÕES ,0,DC
171,ds4,LANCHES E REFEIÇÕES ,0,DC
172,ds1,MATERIAL DE CONSUMO ,156,DC
173,ds2,MATERIAL DE CONSUMO ,156,DC
174,ds3,MATERIAL DE CONSUMO ,156,DC
175,ds4,MATERIAL DE CONSUMO ,0,DC
176,ds1,ENERGIA ELÉTRICA ,41,DC
177,ds2,ENERGIA ELÉTRICA ,41,DC
178,ds3,ENERGIA ELÉTRICA ,0,DC
179,ds4,ENERGIA ELÉTRICA ,0,DC
180,ds1,PESSOAL ,747,DC
181,ds2,PESSOAL ,747,DC
182,ds3,PESSOAL ,747,DC
183,ds4,PESSOAL ,0,DC
184,ds1,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",33,DC
185,ds2,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",33,DC
186,ds3,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",0,DC
187,ds4,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",0,DC
188,ds1,ADIANTAMENTOS DIVERSOS ,2,DC
189,ds2,ADIANTAMENTOS DIVERSOS ,2,DC
190,ds3,ADIANTAMENTOS DIVERSOS ,0,DC
191,ds4,ADIANTAMENTOS DIVERSOS ,0,DC
192,ds1,DESPESAS FINANCEIRAS ,872,DC
193,ds2,DESPESAS FINANCEIRAS ,872,DC
194,ds3,DESPESAS FINANCEIRAS ,0,DC
195,ds4,DESPESAS FINANCEIRAS ,0,DC
196,ds1,TRIBUTOS ,252,DC
197,ds2,TRIBUTOS ,252,DC
198,ds3,TRIBUTOS ,252,DC
199,ds4,TRIBUTOS ,0,DC
200,ds1,SERVIÇOS POSTAIS ,47,DC
201,ds2,SERVIÇOS POSTAIS ,47,DC
202,ds3,SERVIÇOS POSTAIS ,0,DC
203,ds4,SERVIÇOS POSTAIS ,0,DC
204,ds1,SEGUROS ,12,DC
205,ds2,SEGUROS ,12,DC
206,ds3,SEGUROS ,0,DC
207,ds4,SEGUROS ,0,DC
208,ds1,CONVENÇÕES PARTIDÁRIAS ,4,DC
209,ds2,CONVENÇÕES PARTIDÁRIAS ,4,DC
210,ds3,CONVENÇÕES PARTIDÁRIAS ,0,DC
211,ds4,CONVENÇÕES PARTIDÁRIAS ,0,DC
212,ds1,SEGURANÇA E VIGILÂNCIA ,31,DC
213,ds2,SEGURANÇA E VIGILÂNCIA ,31,DC
214,ds3,SEGURANÇA E VIGILÂNCIA ,0,DC
215,ds4,SEGURANÇA E VIGILÂNCIA ,0,DC
216,ds1,PROPAGANDA E PUBLICIDADE ,59,DC
217,ds2,PROPAGANDA E PUBLICIDADE ,59,DC
218,ds3,PROPAGANDA E PUBLICIDADE ,0,DC
219,ds4,PROPAGANDA E PUBLICIDADE ,0,DC
220,ds1,ALUGUÉIS E CONDOMÍNIOS ,47,DC
221,ds2,ALUGUÉIS E CONDOMÍNIOS ,47,DC
222,ds3,ALUGUÉIS E CONDOMÍNIOS ,47,DC
223,ds4,ALUGUÉIS E CONDOMÍNIOS ,0,DC
224,ds1,ATIVO PERMANENTE ,3,DC
225,ds2,ATIVO PERMANENTE ,3,DC
226,ds3,ATIVO PERMANENTE ,3,DC
227,ds4,ATIVO PERMANENTE ,2,DC
228,ds1,PRODUÇÃO DE AUDIOVISUAIS ,14,DC
229,ds2,PRODUÇÃO DE AUDIOVISUAIS ,14,DC
230,ds3,PRODUÇÃO DE AUDIOVISUAIS ,0,DC
231,ds4,PRODUÇÃO DE AUDIOVISUAIS ,0,DC
232,ds1,TELECOMUNICAÇÕES E INTERNET ,247,DC
233,ds2,TELECOMUNICAÇÕES E INTERNET ,247,DC
234,ds3,TELECOMUNICAÇÕES E INTERNET ,0,DC
235,ds4,TELECOMUNICAÇÕES E INTERNET ,0,DC
236,ds1,ÁGUA E ESGOTO ,15,DC
237,ds2,ÁGUA E ESGOTO ,15,DC
238,ds3,ÁGUA E ESGOTO ,0,DC
239,ds4,ÁGUA E ESGOTO ,0,DC
240,ds1,SERVIÇOS CARTORÁRIOS ,34,DC
241,ds2,SERVIÇOS CARTORÁRIOS ,34,DC
242,ds3,SERVIÇOS CARTORÁRIOS ,0,DC
243,ds4,SERVIÇOS CARTORÁRIOS ,0,DC
244,ds1,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,16,DC
245,ds2,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,16,DC
246,ds3,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,0,DC
247,ds4,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,0,DC
248,ds1,RÁDIO E TELEVISÃO ,12,DC
249,ds2,RÁDIO E TELEVISÃO ,12,DC
250,ds3,RÁDIO E TELEVISÃO ,0,DC
251,ds4,RÁDIO E TELEVISÃO ,0,DC
252,ds1,RECOLHIMENTOS AO ERÁRIO ,16,DC
253,ds2,RECOLHIMENTOS AO ERÁRIO ,16,DC
254,ds3,RECOLHIMENTOS AO ERÁRIO ,16,DC
255,ds4,RECOLHIMENTOS AO ERÁRIO ,0,DC
256,ds1,EVENTOS PROMOCIONAIS ,2,DC
257,ds2,EVENTOS PROMOCIONAIS ,2,DC
258,ds3,EVENTOS PROMOCIONAIS ,0,DC
259,ds4,EVENTOS PROMOCIONAIS ,0,DC
260,ds1,PUBLICAÇÕES ,4,DC
261,ds2,PUBLICAÇÕES ,4,DC
262,ds3,PUBLICAÇÕES ,0,DC
263,ds4,PUBLICAÇÕES ,0,DC
264,ds1,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,2,DC
265,ds2,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,2,DC
266,ds3,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,0,DC
267,ds4,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,0,DC
268,ds1,DESPESAS JUDICIAIS ,3,DC
269,ds2,DESPESAS JUDICIAIS ,3,DC
270,ds3,DESPESAS JUDICIAIS ,0,DC
271,ds4,DESPESAS JUDICIAIS ,0,DC
272,ds1,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,1,DC
273,ds2,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,1,DC
274,ds3,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,0,DC
275,ds4,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,0,DC
276,ds1,OUTROS ORDINÁRIAS,9,DC
277,ds2,OUTROS ORDINÁRIAS,0,DC
278,ds3,OUTROS ORDINÁRIAS,0,DC
279,ds4,OUTROS ORDINÁRIAS,0,DC
280,ds1,SERVIÇOS TÉCNICO-PROFISSIONAIS ,1632,DEM
281,ds2,SERVIÇOS TÉCNICO-PROFISSIONAIS ,1632,DEM
282,ds3,SERVIÇOS TÉCNICO-PROFISSIONAIS ,1632,DEM
283,ds4,SERVIÇOS TÉCNICO-PROFISSIONAIS ,0,DEM
284,ds1,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",284,DEM
285,ds2,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",284,DEM
286,ds3,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",2,DEM
287,ds4,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ",0,DEM
288,ds1,PESSOAL ,2219,DEM
289,ds2,PESSOAL ,2219,DEM
290,ds3,PESSOAL ,2219,DEM
291,ds4,PESSOAL ,0,DEM
292,ds1,DESPESAS FINANCEIRAS ,4298,DEM
293,ds2,DESPESAS FINANCEIRAS ,4298,DEM
294,ds3,DESPESAS FINANCEIRAS ,0,DEM
295,ds4,DESPESAS FINANCEIRAS ,0,DEM
296,ds1,DESPESAS JUDICIAIS ,43,DEM
297,ds2,DESPESAS JUDICIAIS ,43,DEM
298,ds3,DESPESAS JUDICIAIS ,0,DEM
299,ds4,DESPESAS JUDICIAIS ,0,DEM
300,ds1,ALUGUÉIS E CONDOMÍNIOS ,705,DEM
301,ds2,ALUGUÉIS E CONDOMÍNIOS ,705,DEM
302,ds3,ALUGUÉIS E CONDOMÍNIOS ,705,DEM
303,ds4,ALUGUÉIS E CONDOMÍNIOS ,0,DEM
304,ds1,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,26,DEM
305,ds2,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,26,DEM
306,ds3,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,0,DEM
307,ds4,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA ,0,DEM
308,ds1,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,13,DEM
309,ds2,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,13,DEM
310,ds3,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,0,DEM
311,ds4,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,0,DEM
312,ds1,CONGRESSOS ,3,DEM
313,ds2,CONGRESSOS ,3,DEM
314,ds3,CONGRESSOS ,0,DEM
315,ds4,CONGRESSOS ,0,DEM
316,ds1,DESPESAS GERAIS ,5,DEM
317,ds2,DESPESAS GERAIS ,5,DEM
318,ds3,DESPESAS GERAIS ,5,DEM
319,ds4,DESPESAS GERAIS ,0,DEM
320,ds1,OUTRAS DESPESAS GERAIS ,88,DEM
321,ds2,OUTRAS DESPESAS GERAIS ,88,DEM
322,ds3,OUTRAS DESPESAS GERAIS ,0,DEM
323,ds4,OUTRAS DESPESAS GERAIS ,0,DEM
324,ds1,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,48,DEM
325,ds2,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,48,DEM
326,ds3,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,0,DEM
327,ds4,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,0,DEM
328,ds1,PRODUÇÃO DE AUDIOVISUAIS ,45,DEM
329,ds2,PRODUÇÃO DE AUDIOVISUAIS ,45,DEM
330,ds3,PRODUÇÃO DE AUDIOVISUAIS ,0,DEM
331,ds4,PRODUÇÃO DE AUDIOVISUAIS ,0,DEM
332,ds1,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,381,DEM
333,ds2,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,381,DEM
334,ds3,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,381,DEM
335,ds4,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,381,DEM
336,ds1,SERVIÇOS CARTORÁRIOS ,55,DEM
337,ds2,SERVIÇOS CARTORÁRIOS ,55,DEM
338,ds3,SERVIÇOS CARTORÁRIOS ,0,DEM
339,ds4,SERVIÇOS CARTORÁRIOS ,0,DEM
340,ds1,MATERIAL DE CONSUMO ,638,DEM
341,ds2,MATERIAL DE CONSUMO ,638,DEM
342,ds3,MATERIAL DE CONSUMO ,638,DEM
343,ds4,MATERIAL DE CONSUMO ,0,DEM
344,ds1,CONVENÇÕES PARTIDÁRIAS ,48,DEM
345,ds2,CONVENÇÕES PARTIDÁRIAS ,48,DEM
346,ds3,CONVENÇÕES PARTIDÁRIAS ,0,DEM
347,ds4,CONVENÇÕES PARTIDÁRIAS ,0,DEM
348,ds1,TRANSPORTES E VIAGENS ,573,DEM
349,ds2,TRANSPORTES E VIAGENS ,573,DEM
350,ds3,TRANSPORTES E VIAGENS ,573,DEM
351,ds4,TRANSPORTES E VIAGENS ,0,DEM
352,ds1,SERVIÇOS POSTAIS ,91,DEM
353,ds2,SERVIÇOS POSTAIS ,91,DEM
354,ds3,SERVIÇOS POSTAIS ,0,DEM
355,ds4,SERVIÇOS POSTAIS ,0,DEM
356,ds1,TELECOMUNICAÇÕES E INTERNET ,595,DEM
357,ds2,TELECOMUNICAÇÕES E INTERNET ,595,DEM
358,ds3,TELECOMUNICAÇÕES E INTERNET ,0,DEM
359,ds4,TELECOMUNICAÇÕES E INTERNET ,0,DEM
360,ds1,ASSINATURAS E AQUISIÇÕES DE PERIÓDICOS ,42,DEM
361,ds2,ASSINATURAS E AQUISIÇÕES DE PERIÓDICOS ,42,DEM
362,ds3,ASSINATURAS E AQUISIÇÕES DE PERIÓDICOS ,0,DEM
363,ds4,ASSINATURAS E AQUISIÇÕES DE PERIÓDICOS ,0,DEM
364,ds1,ADIANTAMENTOS DIVERSOS ,18,DEM
365,ds2,ADIANTAMENTOS DIVERSOS ,18,DEM
366,ds3,ADIANTAMENTOS DIVERSOS ,0,DEM
367,ds4,ADIANTAMENTOS DIVERSOS ,0,DEM
368,ds1,LANCHES E REFEIÇÕES ,57,DEM
369,ds2,LANCHES E REFEIÇÕES ,57,DEM
370,ds3,LANCHES E REFEIÇÕES ,0,DEM
371,ds4,LANCHES E REFEIÇÕES ,0,DEM
372,ds1,SEGUROS ,9,DEM
373,ds2,SEGUROS ,9,DEM
374,ds3,SEGUROS ,0,DEM
375,ds4,SEGUROS ,0,DEM
376,ds1,EVENTOS PROMOCIONAIS ,114,DEM
377,ds2,EVENTOS PROMOCIONAIS ,114,DEM
378,ds3,EVENTOS PROMOCIONAIS ,0,DEM
379,ds4,EVENTOS PROMOCIONAIS ,0,DEM
380,ds1,ATIVO PERMANENTE ,47,DEM
381,ds2,ATIVO PERMANENTE ,47,DEM
382,ds3,ATIVO PERMANENTE ,47,DEM
383,ds4,ATIVO PERMANENTE ,0,DEM
384,ds1,PUBLICAÇÕES ,34,DEM
385,ds2,PUBLICAÇÕES ,34,DEM
386,ds3,PUBLICAÇÕES ,0,DEM
387,ds4,PUBLICAÇÕES ,0,DEM
388,ds1,RÁDIO E TELEVISÃO ,2,DEM
389,ds2,RÁDIO E TELEVISÃO ,2,DEM
390,ds3,RÁDIO E TELEVISÃO ,0,DEM
391,ds4,RÁDIO E TELEVISÃO ,0,DEM
392,ds1,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",27,DEM
393,ds2,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",27,DEM
394,ds3,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",0,DEM
395,ds4,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ",0,DEM
396,ds1,CONVENÇÕES ,3,DEM
397,ds2,CONVENÇÕES ,3,DEM
398,ds3,CONVENÇÕES ,0,DEM
399,ds4,CONVENÇÕES ,0,DEM
400,ds1,TRIBUTOS ,259,DEM
401,ds2,TRIBUTOS ,259,DEM
402,ds3,TRIBUTOS ,259,DEM
403,ds4,TRIBUTOS ,0,DEM
404,ds1,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,4,DEM
405,ds2,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,4,DEM
406,ds3,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,0,DEM
407,ds4,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA ,0,DEM
408,ds1,ENERGIA ELÉTRICA ,405,DEM
409,ds2,ENERGIA ELÉTRICA ,405,DEM
410,ds3,ENERGIA ELÉTRICA ,0,DEM
411,ds4,ENERGIA ELÉTRICA ,0,DEM
412,ds1,ÁGUA E ESGOTO ,173,DEM
